"propertyID","Address","State","ZipCode","Room","Bath","AskingPrice","MarketValue","LastSoldDate","LastSoldAmount","YearBuilt","SqFootage","UseCode"
"25824070","1055 Johnfer Way","CA","95831","3","2.0","395,300","249729","06/10/2016","227500","NA","NA","SingleFamily"
"111435017","7335 15th St","CA","95822","3","2.0","217,900","224674","","","1957","6534","SingleFamily"
